Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,17383.250000,17644.750000,17255.199219,17594.349609,17594.349609,1360700
2023-03-06,17680.349609,17799.949219,17324.349609,17412.900391,17412.900391,1128100
2023-03-13,17421.900391,17529.900391,16850.150391,17100.050781,17100.050781,1551600
2023-03-20,17066.599609,17207.250000,16828.349609,16945.050781,16945.050781,935700
2023-03-27,16984.300781,17381.599609,16913.750000,17359.750000,17359.750000,1067000
2023-04-03,17427.949219,17638.699219,17312.750000,17599.150391,17599.150391,721200
2023-04-10,17634.900391,17842.150391,17597.949219,17828.000000,17828.000000,1077700
2023-04-17,17863.000000,17863.000000,17553.949219,17624.050781,17624.050781,1343100
2023-04-24,17707.550781,18089.150391,17612.500000,18065.000000,18065.000000,1317800
2023-05-01,18124.800781,18267.449219,18042.400391,18069.000000,18069.000000,957700
2023-05-08,18120.599609,18389.699219,18100.300781,18314.800781,18314.800781,1184900
2023-05-15,18339.300781,18458.900391,18060.400391,18203.400391,18203.400391,1198500
2023-05-22,18201.099609,18508.550781,18178.849609,18499.349609,18499.349609,1200200
2023-05-29,18619.150391,18662.449219,18464.550781,18534.099609,18534.099609,1732700
2023-06-05,18612.000000,18777.900391,18531.599609,18563.400391,18563.400391,1245300
2023-06-12,18595.050781,18864.699219,18559.750000,18826.000000,18826.000000,1209900
2023-06-19,18873.300781,18886.599609,18647.099609,18665.500000,18665.500000,1112200
2023-06-26,18682.349609,19201.699219,18646.699219,19189.050781,19189.050781,1040500
2023-07-03,19246.500000,19523.599609,19234.400391,19331.800781,19331.800781,1182800
2023-07-10,19400.349609,19595.349609,19327.099609,19564.500000,19564.500000,1449000
2023-07-17,19612.150391,19991.849609,19562.949219,19745.000000,19745.000000,1402000
2023-07-24,19748.449219,19867.550781,19563.099609,19646.050781,19646.050781,1473600
2023-07-31,19666.349609,19795.599609,19296.449219,19517.000000,19517.000000,1480300
2023-08-07,19576.849609,19645.500000,19412.750000,19428.300781,19428.300781,1291100
2023-08-14,19383.949219,19482.750000,19253.599609,19310.150391,19310.150391,768700
2023-08-21,19320.650391,19584.449219,19229.699219,19265.800781,19265.800781,1431300
2023-08-28,19298.349609,19458.550781,19223.650391,19435.300781,19435.300781,1684200
2023-09-04,19525.050781,19867.150391,19432.849609,19819.949219,19819.949219,1434200
2023-09-11,19890.000000,20222.449219,19865.349609,20192.349609,20192.349609,1541600
2023-09-18,20155.949219,20195.349609,19657.500000,19674.250000,19674.250000,1164500
2023-09-25,19678.199219,19766.650391,19492.099609,19638.300781,19638.300781,1193200
2023-10-02,19622.400391,19675.750000,19333.599609,19653.500000,19653.500000,892800
2023-10-09,19539.449219,19843.300781,19480.500000,19751.050781,19751.050781,1068300
2023-10-16,19737.250000,19849.750000,19512.349609,19542.650391,19542.650391,994300
2023-10-23,19521.599609,19556.849609,18837.849609,19047.250000,19047.250000,906900
2023-10-30,19053.400391,19276.250000,18940.000000,19230.599609,19230.599609,1015300
2023-11-06,19345.849609,19464.400391,19309.699219,19425.349609,19425.349609,935000
2023-11-13,19486.750000,19875.250000,19414.750000,19731.800781,19731.800781,1000300
2023-11-20,19731.150391,19875.150391,19670.500000,19794.699219,19794.699219,869200
2023-11-27,19844.650391,20291.550781,19800.000000,20267.900391,20267.900391,1218200
2023-12-04,20601.949219,21006.099609,20507.750000,20969.400391,20969.400391,1728700
2023-12-11,20965.300781,21492.300781,20769.500000,21456.650391,21456.650391,1561300
2023-12-18,21434.800781,21593.000000,20976.800781,21349.400391,21349.400391,1425600
2023-12-25,21365.199219,21801.449219,21329.449219,21731.400391,21731.400391,1140000
2024-01-01,21727.750000,21834.349609,21500.349609,21710.800781,21710.800781,1378100
2024-01-08,21747.599609,21928.250000,21448.650391,21894.550781,21894.550781,1184300
2024-01-15,22053.150391,22124.150391,21285.550781,21622.400391,21622.400391,1824300
2024-01-22,21716.699219,21750.250000,21137.199219,21352.599609,21352.599609,1275300
2024-01-29,21433.099609,22126.800781,21429.599609,21853.800781,21853.800781,1937700
2024-02-05,21921.050781,22053.300781,21629.900391,21782.500000,21782.500000,1998400
2024-02-12,21800.800781,22068.650391,21530.199219,22040.699219,22040.699219,1701600
2024-02-19,22103.449219,22297.500000,21875.250000,22212.699219,22212.699219,1229700
2024-02-26,22169.199219,22218.250000,22075.150391,22198.349609,22198.349609,460000
2024-02-28,22214.099609,22229.150391,21915.849609,21951.150391,21951.150391,0
